id,district,county,subcounty,location_id,code
1,buikwe,buikwe,buikwe,1419,VJvmAQENPbr7
2,buikwe,buikwe,buikwe town council,1420,fYNhAMG4S28h
3,buikwe,buikwe,kawolo,1421,YYu9HtTFqm7X
4,buikwe,buikwe,lugazi town council,1422,1VbV2PkzjOcu
5,buikwe,buikwe,najja,1423,C6KHylR72XPk
6,buikwe,buikwe,najjembe,1424,ytOfQNZodOLL
7,buikwe,buikwe,ngogwe,1425,Y94PiYvPfAIF
8,buikwe,buikwe,njeru town council,1426,pT6NVTPyXlir
9,buikwe,buikwe,nkokonjeru town council,1427,VI7Y2NV4zzYN
10,buikwe,buikwe,nyenga,1428,TVz5Dpw0nryi
11,buikwe,buikwe,ssi bukunja,1429,VI7m96xVByT8
12,buikwe,buikwe,wakisi,1430,a92pGcN9Ftgz
13,bukomansimbi,bukomansimbi,bigasa,273,gCNSCRmNEMhP
14,bukomansimbi,bukomansimbi,bukomasimbi town council,274,SFWkDh6NQcFN
15,bukomansimbi,bukomansimbi,butenga,275,Q7Nx70A50m7A
16,bukomansimbi,bukomansimbi,kibinge,276,Rhu1V7WtQyjs
17,bukomansimbi,bukomansimbi,kitanda,277,wb9zniXgC1jE
18,butambala,butambala,budde,360,hbguRIXWcRRe
19,butambala,butambala,bulo,361,QMyrG6jABEIt
20,butambala,butambala,gombe town council,362,wUCXEQEOeVxN
21,butambala,butambala,kalamba,363,M09Jqpyb9aiz
22,butambala,butambala,kibibi,364,0ldDzZnN6XOE
23,butambala,butambala,ngando,365,gK0PvZhQzyDW
24,buvuma,buvuma islands,bugaya,366,gUsj5ZI1PJGG
25,buvuma,buvuma islands,busamuzi,367,rYpsbW51fqfS
26,buvuma,buvuma islands,buvuma town council,368,wmWSK0s57gLK
27,buvuma,buvuma islands,buwooya,0,0
28,buvuma,buvuma islands,bweema,369,ACjbBO6eXggE
29,buvuma,buvuma islands,lubya,0,0
30,buvuma,buvuma islands,lwajje,0,0
31,buvuma,buvuma islands,lyabaana,0,0
32,buvuma,buvuma islands,nairambi,370,3BvNtkk4QsJS
33,gomba,gomba,kabulasoke,389,vlYYD5a5RIEp
34,gomba,gomba,kanoni town council,388,4XuViXC5NPDB
35,gomba,gomba,kyegonza,390,b673SWd60YJv
36,gomba,gomba,maddu,391,zUd1fK2SS1Ua
37,gomba,gomba,mpenja,392,C2osYmkLrVil
38,kalangala,bujumba,bujumba,562,x5YcLobryysN
39,kalangala,bujumba,kalangala town council,563,btS2MlWR6GaO
40,kalangala,bujumba,mugoye,566,ROPkLw82H5ra
41,kalangala,kyamuswa,bubeke,560,OhMdNZDe9qor
42,kalangala,kyamuswa,bufumira,561,PKdDZi6pDIvC
43,kalangala,kyamuswa,kyamuswa,564,DUbLNIEvJTCp
44,kalangala,kyamuswa,mazinga,565,hE7q6SNvE8KF
45,kalungu,kalungu,bukulula,567,sYm66NXlXAw7
46,kalungu,kalungu,kalungu,568,hHqefDGYhjLp
47,kalungu,kalungu,kalungu town council,569,jcom5OrTSnFr
48,kalungu,kalungu,kyamulibwa,570,VEXxvzwBOcj8
49,kalungu,kalungu,lukaya town council,571,2exFPQdidEtw
50,kalungu,kalungu,lwabenge,572,vfsXBAyH5ev1
51,kampala,kampala capital city,central division,573,V7Kj57Zja4Ct
52,kampala,kampala capital city,kawempe division,574,Gc9DWeo1gKUK
53,kampala,kampala capital city,lubaga division,63397,7zR86le7j56w
54,kampala,kampala capital city,makindye division,575,yD7OjmIpQ8et
55,kampala,kampala capital city,nakawa division,576,zch6RLyHFvFF
56,kayunga,bbaale,bbaale,679,zgFzFvw25uGh
57,kayunga,bbaale,galiraaya,681,j4RLKscMGuBX
58,kayunga,bbaale,kayonza,611,bEftYS4utuZf
59,kayunga,bbaale,kitimbwa,686,fYqymFS6O6Vh
60,kayunga,ntenjeru,busana,680,gSHerfzpmYT4
61,kayunga,ntenjeru,kangulumira,682,d0sy9XL0n8EF
62,kayunga,ntenjeru,kayunga,684,q52aDRf1OHuq
63,kayunga,ntenjeru,kayunga town council,685,4i1ipfNiEDk6
64,kayunga,ntenjeru,nazigo,687,Lz1edp7sqKpP
65,kyankwanzi,kiboga,bananywa,0,0
66,kyankwanzi,kiboga,butemba,825,FeA8aHfZQQlC
67,kyankwanzi,kiboga,butemba town council,826,8BM6KZmdHwGU
