id,name,male,female,total
city:arua,Arua City,178725,205931,384656
city:fort-portal,Fort Portal City,62575,74974,137549
city:gulu,Gulu City,109996,123275,233271
city:hoima,Hoima City,66218,77086,143304
city:jinja,Jinja City,123031,156153,279184
city:lira,Lira City,112439,132693,245132
city:masaka,Masaka City,154355,139811,294166
city:mbale,Mbale City,134412,156002,290414
city:mbarara,Mbarara City,123540,140885,264425
city:soroti,Soroti City,63226,70973,134199
district:abim,Abim,67976,76108,144084
district:adjumani,Adjumani,146101,154489,300590
district:agago,Agago,147969,159266,307235
district:alebtong,Alebtong,127112,156397,283509
district:amolatar,Amolatar,91066,97649,188715
district:amudat,Amudat,100537,102821,203358
district:amuria,Amuria,118804,132849,251653
district:amuru,Amuru,120602,126972,247574
district:apac,Apac,106696,115266,221962
district:arua,Arua,74949,84773,159722
district:budaka,Budaka,121908,159629,281537
district:bududa,Bududa,139627,129343,268970
district:bugiri,Bugiri,220485,259860,480345
district:bugweri,Bugweri,99283,112228,211511
district:buhweju,Buhweju,88145,79776,167921
district:buikwe,Buikwe,248191,271967,520158
district:bukedea,Bukedea,133204,149660,282864
district:bukomansimbi,Bukomansimbi,90135,107433,197568
district:bukwo,Bukwo,55683,58713,114396
district:bulambuli,Bulambuli,101286,134105,235391
district:buliisa,Buliisa,81437,86457,167894
district:bundibugyo,Bundibugyo,123964,140814,264778
district:bunyangabu,Bunyangabu,112678,106334,219012
district:bushenyi,Bushenyi,128632,154760,283392
district:busia,Busia,194114,218557,412671
district:butaleja,Butaleja,147067,165704,312771
district:butambala,Butambala,78993,67523,146516
district:butebo,Butebo,81386,90047,171433
district:buvuma,Buvuma,58410,52422,110832
district:buyende,Buyende,191715,211771,403486
district:dokolo,Dokolo,108260,107365,215625
district:gomba,Gomba,97889,101231,199120
district:gulu,Gulu,68192,67181,135373
district:hoima,Hoima,122572,134972,257544
district:ibanda,Ibanda,141194,168272,309466
district:iganga,Iganga,196636,230322,426958
district:isingiro,Isingiro,295801,339276,635077
district:jinja,Jinja,127893,153012,280905
district:kaabong,Kaabong,126921,137710,264631
district:kabale,Kabale,121223,164365,285588
district:kabarole,Kabarole,112305,118063,230368
district:kaberamaido,Kaberamaido,66856,74130,140986
district:kagadi,Kagadi,222911,248200,471111
district:kakumiro,Kakumiro,205199,222977,428176
district:kalaki,Kalaki,71246,78490,149736
district:kalangala,Kalangala,45396,29015,74411
district:kaliro,Kaliro,137725,148672,286397
district:kalungu,Kalungu,101915,119654,221569
district:kampala,Kampala,1004884,792838,1797722
district:kamuli,Kamuli,252892,287360,540252
district:kamwenge,Kamwenge,157559,179608,337167
district:kanungu,Kanungu,137963,172099,310062
district:kapchorwa,Kapchorwa,63668,69953,133621
district:kapelebyong,Kapelebyong,68768,74768,143536
district:karenga,Karenga,48006,52369,100375
district:kasese,Kasese,408524,445307,853831
district:kassanda,Kassanda,153298,160710,314008
district:katakwi,Katakwi,111791,122541,234332
district:kayunga,Kayunga,208845,230330,439175
district:kazo,Kazo,110216,98682,208898
district:kibaale,Kibaale,113255,124394,237649
