id,district,county,subcounty,confidence,legacy_location_id,legacy_code
1,Hoima,Bugahya County,Buhanika,verified,,
2,Hoima,Bugahya County,Buseruka,verified,,
3,Hoima,Bugahya County,Bulindi Town Council,verified,,
4,Hoima,Bugahya County,Kitoba,verified,,
5,Hoima,Bugahya County,Kyabigambire,verified,,
6,Hoima,Bugahya County,Kabaale,verified,,
7,Hoima,Bugahya County,Buraru,verified,,
8,Hoima,Kigorobya County,Kapaapi,verified,,
9,Hoima,Kigorobya County,Bombo,verified,,
10,Hoima,Kigorobya County,Kisukuma,verified,,
11,Hoima,Kigorobya County,Kiganja,verified,,
12,Hoima,Kigorobya County,Kigorobya,verified,,
13,Hoima,Kigorobya County,Kigorobya Town Council,verified,,
14,Hoima,Kigorobya County,Kijongo,verified,,
15,Kagadi,Buyaga East County,Nyabutanzi,verified,,
16,Kagadi,Buyaga East County,Kagadi,verified,,
17,Kagadi,Buyaga East County,Kiryanga,verified,,
18,Kagadi,Buyaga East County,Kyanaisoke,verified,,
19,Kagadi,Buyaga East County,Mabaale,verified,,
20,Kagadi,Buyaga East County,Isunga,verified,,
21,Kagadi,Buyaga East County,Kamuroza,verified,,
22,Kagadi,Buyaga East County,Kinyarugonjo,verified,,
23,Kagadi,Buyaga East County,Kagadi Town Council,verified,,
24,Kagadi,Buyaga East County,Kicucura,verified,,
25,Kagadi,Buyaga East County,Kabamba,verified,,
26,Kagadi,Buyaga East County,Kyenzige,verified,,
27,Kagadi,Buyaga East County,Kyenzige Town Council,verified,,
28,Kagadi,Buyaga East County,Pachwa,verified,,
29,Kagadi,Buyaga East County,Pachwa Town Council,verified,,
30,Kagadi,Buyaga East County,Mabaale Town Council,verified,,
31,Kagadi,Buyaga West County,Bwikara,verified,,
32,Kagadi,Buyaga West County,Kyakabadiima,verified,,
33,Kagadi,Buyaga West County,Muhorro Town Council,verified,,
34,Kagadi,Buyaga West County,Galiboleka,verified,,
35,Kagadi,Buyaga West County,Mairirwe,verified,,
36,Kagadi,Buyaga West County,Mpeefu,verified,,
37,Kagadi,Buyaga West County,Muhorro,verified,,
38,Kagadi,Buyaga West County,Rugashari,verified,,
39,Kagadi,Buyaga West County,Nyakarongo,verified,,
40,Kagadi,Buyaga West County,Burora,verified,,
41,Kagadi,Buyaga West County,Mpeefu Ya Sande Town,verified,,
42,Kagadi,Buyaga West County,Kyaterekera,verified,,
43,Kagadi,Buyaga West County,Kyaterekera Town,verified,,
44,Kagadi,Buyaga West County,Ndaiga,verified,,
45,Kagadi,Buyaga West County,Kanyabeebe,verified,,
46,Kagadi,Buyaga West County,Ruteete,verified,,
47,Kagadi,Buyaga West County,Buhumuliro,verified,,
48,Kagadi,Buyaga West County,Ruteete Town Council,verified,,
49,Kagadi,Buyaga West County,Rugashari Town Council,verified,,
50,Kakumiro,Bugangaizi West County,Kakindo,verified,,
51,Kakumiro,Bugangaizi West County,Nalweyo,verified,,
52,Kakumiro,Bugangaizi West County,Kitaihuka,verified,,
53,Kakumiro,Bugangaizi West County,Kikwaya,verified,,
54,Kakumiro,Bugangaizi West County,Kijangi,verified,,
55,Kakumiro,Bugangaizi West County,Kakindo Town Council,verified,,
56,Kakumiro,Bugangaizi West County,Kikoora,verified,,
57,Kakumiro,Bugangaizi West County,Nyarweyo Town Council,verified,,
58,Kakumiro,Bugangaizi East County,Katikara,verified,,
59,Kakumiro,Bugangaizi East County,Kisiita Town Council,verified,,
60,Kakumiro,Bugangaizi East County,Kibijjo,verified,,
61,Kakumiro,Bugangaizi East County,Kisiita,verified,,
62,Kakumiro,Bugangaizi East County,Mwitanzige,verified,,
63,Kakumiro,Bugangaizi East County,Nkooko,verified,,
64,Kakumiro,Bugangaizi East County,Nkooko Town Council,verified,,
65,Kakumiro,Bugangaizi East County,Mpasaana,verified,,
66,Kakumiro,Bugangaizi East County,Mpasaana Town Council,verified,,
67,Kakumiro,Bugangaizi South County,Bwanswa,verified,,
68,Kakumiro,Bugangaizi South County,Kasambya,verified,,
69,Kakumiro,Bugangaizi South County,Kakumiro Town Council,verified,,
70,Kakumiro,Bugangaizi South County,Igayaza Town Council,verified,,
71,Kakumiro,Bugangaizi South County,Birembo,verified,,
72,Kakumiro,Bugangaizi South County,Kisengwe,verified,,
73,Kakumiro,Bugangaizi South County,Kyabasaija,verified,,
74,Kikuube,Buhaguzi County,Kabwoya,verified,,
75,Kikuube,Buhaguzi County,Kiziranfumbi,verified,,
76,Kikuube,Buhaguzi County,Kyangwali,verified,,
77,Kikuube,Buhaguzi County,Kikuube Town Council,verified,,
78,Kikuube,Buhaguzi East County,Bugambe,verified,,
79,Kikuube,Buhaguzi East County,Buhimba,verified,,
80,Kikuube,Buhaguzi East County,Buhimba Town Council,verified,,
